dc.date.issued[en_US],dc.publisher,dc.date.issued[],dc.identifier.uri[],dc.title[en],dc.publisher[en_US],dc.date.issued,dc.identifier.uri,id,collection,dc.title[en_US],dc.contributor.author[en_US],dc.title[],dc.contributor.author[],dc.contributor.author,dc.publisher[en]
,,2016-05-29,,,,,http://hdl.handle.net/1813/44263,45439,1813/47,,,A Stable Isotopic (Carbon And Nitrogen) Evaluation Of Regional Differences In Herded Animal Diet And Pastoral Risk Management Practices During The Xiongnu Period Of Mongolia.,"Cameron, Asa",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44266,45442,1813/47,,,Learning From Natural Human Interactions For Assistive Robots,"Jain, Ashesh",,
,,2016-02-01,http://hdl.handle.net/1813/42871,,,,,44004,1813/47,Farm Loan Demand Elasticities and the Relationship Between the Farm Credit System and Commerical Bank Lending,,,"Carduner, Amy",,
,,2016-02-01,http://hdl.handle.net/1813/42872,,,,,44005,1813/47,"Temporal and Spatial Coordination of the Hippocampus, Retrosplenial Cortex, and Anterior Thalamus",,,"Swanson, Rachel",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43555,44718,1813/47,,,Fuzzy-Trace Theory And The Neural Basis Of The Framing Effect In Adolescents,"Evans, Alyssa",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43557,44720,1813/47,,,There'S A New Left In Town: The Politics Of Solidarity In Occupied Jerusalem,"Grabiner Keinan, Adi",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43561,44724,1813/47,,,Aesthetic Impropriety: Properties Of Law And Politics In Postcolonial Literature,"Casey, Anna",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43563,44726,1813/47,,,Effects Of Salmonid Management On Native Species And Ecosystem Function In New York Streams,"Alexiades, Alexander",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43564,44727,1813/47,,,Micelle And Soft-Particle Dynamics,"Rolfe, Bryan",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43565,44728,1813/47,,,The Evolutionary Ecology Of Elevational Specialization In Tropical Montane Birds,"Freeman, Benjamin",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43567,44730,1813/47,,,Jointed Pipeline Response To Large Ground Movements,"Wham, Brad",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43569,44732,1813/47,,,Architecture And Synthesis For Dynamically Reconfigurable Asynchronous Fpgas,"Hill, Benjamin",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43570,44733,1813/47,,,Extracting Opinions And Events From Text: Joint Inference Approaches,"Yang, Bishan",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43575,44738,1813/47,,,Lost In Transportation: Trade Networks And The Materiality Of Cargoes In The Ancient Mediterranean,"Fulton, Carrie",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43577,44740,1813/47,,,"Discovering Gold In The Greater Antilles – The Natural History And Breeding Biology Of The Hispaniolan Golden Swallow, Followed By The Status Of The Critically Endangered Jamaican Golden Swallow","Proctor, Christopher",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43578,44741,1813/47,,,"Complexity In The Open Grazing System: Rangeland Ecology, Pastoral Mobility And Ethnobotanical Knowledge In Borana, Ethiopia","Liao, Chuan",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43580,44743,1813/47,,,Termination Of Replication Stress Signaling In Saccharomyces Cerevisiae,"Jablonowski, Carolyn",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43581,44744,1813/47,,,Efficient Ranking And Selection In Parallel Computing Environments,"Ni, Cao",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43588,44751,1813/47,,,Assessing The Mechanical Behavior Of Treatments For Focal Articular Cartilage Lesions,"Griffin, Darvin",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43589,44752,1813/47,,,Using Picosecond Heat Pulses To Measure Magnetization,"Ngai, Darryl",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43590,44753,1813/47,,,Insight Into The Mechanisms Of Transcription Regulation By A Merr-Family Metalloregulator Through Single-Molecule Analysis,"Smart, Danya",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43597,44760,1813/47,,,Investigation Of The Innate Immune Response To Circulating Tumor Cells In Preclinical Animal Models Of Cancer Metastasis,"Wayne, Elizabeth",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43599,44762,1813/47,,,Resource Governance As Depoliticized Development: The Rise Of Fisheries Co-Management In Vietnam,"Oh, Edmund",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43613,44776,1813/47,,,Contributions Of The Medial Prefrontal Cortex To Managing Memory And Resolving Mnemonic Interference,"Peters, Gregory",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43621,44784,1813/47,,,Natural Variation And Divergence Of Repetitive Dna In Drosophila,"Wei, Heng Chin Kevin",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43622,44785,1813/47,,,Competence And Motivation: Pathways To Relational Versus Collective Status,"Yoon, Hye Jung",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43626,44789,1813/47,,,Mutinous Muteness: Radicalizing Illegibility In Twentieth-Century African American Literature,"Diran, Ingrid",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43638,44801,1813/47,,,Most Significant Bit-First Serial Adder,"Karl, Julia",,
,,2016-02-01,http://hdl.handle.net/1813/43640,,,,,44803,1813/47,,,"Indigenous Ways Of Knowing, Digital Storytelling, And Environmental Learning — A Confluence Of Tradition And New Media Technology","Corwin, Jason",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43642,44805,1813/47,,,Interfacing A Nanonis Controller With A Scanning Tunneling Microscope,"Rodriguez, Justin",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43643,44806,1813/47,,,Study Of Water Absorption Band Depth Features With Varied Soil Properties During The Drying Process,"Tian, Jia",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43650,44813,1813/47,,,The Black Male Mass: A Discourse Of African-American Male Imagery And Representation In The Fashion System,"Fraley, Keith",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43655,44818,1813/47,,,Natural Genetic Variation Involved In Chromatin Modification,"Kelsey, Keegan",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43658,44821,1813/47,,,Microscopically Detailed Joint Density-Functional Theory For The Electrode-Electrolyte Interface,"Letchworth Weaver, Kendra",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43668,44831,1813/47,,,Theorizing Regional Integration Among Southern African States And Their Relations With The European Union,"Dirar, Luwam",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43676,44839,1813/47,,,Investigating Lipid-Protein Interactions Using Supported Lipid Bilayers,"Richards, Mark",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43677,44840,1813/47,,,Single Molecule Studies Of Chromatin Dynamics And Transcription Coupled Repair,"Li, Ming",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43680,44843,1813/47,,,Designing And Improving A System And Tools For Targeted Mutation In Growing Bacteria,"Russell, Matthew",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43684,44847,1813/47,,,The 2011 Egyptian Revolution On Twitter,"Oh, Noona",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43692,44855,1813/47,,,Nest Site Selection In Hudsonian Godwits: Effects Of Habitat And Predation Risk,"Swift, Rose",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43697,44860,1813/47,,,Representation Learning For Sequence And Comparison Data,"Chen, Shuo",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43698,44861,1813/47,,,Online And Offline Facility Location And Network Design,"Cheung, Sin Shuen",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43703,44866,1813/47,,,Hemodynamic Regulation Of Cardiac Outflow Morphogenesis,"Lindsey, Stephanie",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43706,44869,1813/47,,,Maternal Experiences Associated With Optimal Breastfeeding Behavior And The Role Of Breastfeeding In Moderating Child Risk Of Obesity,"Carling, Stacy",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43708,44871,1813/47,,,Efficay Of Salinity Mitigation On Warm Season Turfgrass,"Sekar, Sathish",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43717,44880,1813/47,,,"Shadows Of The Cross: Barack Obama, Clerical Politics, And Gay Rights Compartmentalization In The Black Church","O'Toole, Thomas",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43719,44882,1813/47,,,A Spatiotemporal Examination Of The Mechanisms Involved In Long-Term Memory For Incrementally Acquired Information,"Tong, Tianyi",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43722,44885,1813/47,,,Ad Hoc Arbitration In China,"Zhang, Tietie",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43734,44897,1813/47,,,"Translating Melancholia: The Multiplicity Of Language And The Logic Of Translation In The Postcolonial Writings Of Yi Sang, Theresa Hak Kyung Cha, And Ook Chung","Oh, Yoon Jeong",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43736,44899,1813/47,,,Sensitivity Analysis Of Imported Container Volumes To Surcharge Fees Via A User-Equilibrium Model,"Yan, Yuchen",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43737,44900,1813/47,,,Complex-Valued Group Lasso For Tensor Autoregressive Models,"Hu, Yang",,
,,2016-02-01,http://hdl.handle.net/1813/44115,,,,,45289,1813/47,THE MEIOSIS SPECIFIC AAA+ ATPASE PCH2 INTERACTS WITH THE SYNAPTONEMAL COMPLEX PROTEIN HOP1 THROUGH THE HOP1 HORMA DOMAIN,,,"West, Timothy",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44280,45456,1813/47,,,Ab Initio Theory Of Energy Storage Through Nanoscale Charge Separation And Transport,"Umbright, Christine",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44288,45464,1813/47,,,Feeling Subjects: Science And Law In Nineteenth-Century America,"Yao, Christine",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44300,45476,1813/47,,,Eating And Feeling: Pleasure And The Modernist Body,"Blake, Elizabeth",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44301,45477,1813/47,,,Convolution Powers Of Complex-Valued Functions And Related Topics In Partial Differential Equations,"Randles, Evan",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44304,45480,1813/47,,,The Reindustrialization Of The U.S.: An Ethnography Of Auto Workers In The Industrial Rust Belt,"Dincer, Evren",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44307,45483,1813/47,,,"Design, Analysis And Simulation Of Microscale Solid-Wave Gyroscopes","Yilmaz, Erdal",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44311,45487,1813/47,,,Genetic Characterization Of The O. Rufipogon Species Complex And Construction Of Interspecific Pre-Breeding Resources For The Rice Improvement,"Kim, HyunJung",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44313,45489,1813/47,,,Quantifying And Reducing Uncertainty In Large Volume Remote Sensing Measurements Of Atmospheric Boundary Layer Flows,"Wang, Hui",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44314,45490,1813/47,,,Plant-Mimetic Generation Of Negative Pressure In Water: From Fundamental Thermodynamics To Applications In Transport And Heat Transfer,"Chen, I-Tzu",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44316,45492,1813/47,,,Integration Of Epidemiological Information Into A Decision Support System For Late Blight,"Small, Ian",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44319,45495,1813/47,,,"Rich Man, Poor Man: Prosperity, Poverty, And The Significance Of Need","Thomson, Jordan",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44324,45500,1813/47,,,"Structural Studies Of Model Rna Systems In Solution Using F{\""O}Rster Resonance Energy Transfer","Sutton, Julie",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44329,45505,1813/47,,,Essays In Public Finance,"Albrecht, Kiel",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44331,45507,1813/47,,,Enchantment And Embarrassment In The Lyric,"Molde, Klas Erik",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44335,45511,1813/47,,,"Evaluation Of Food-Chain Mycotoxin Exposure In Rural Zimbabwe: Determinants, Effects And Mechanisms","Smith, Laura",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44339,45515,1813/47,,,"Multi-Object, Multi-Sensor Detection And Tracking Of Pedestrians On A Mobile Robot","de la Garza, Lucas",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44342,45518,1813/47,,,Urban Wind: Impact Of Building Geometry On The Wind Energy Yield Potential Above Rooftops Of Buildings,"Grayson, Malika",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44343,45519,1813/47,,,Boomerang Bias: Examining The Effect Of Parental Coresidence On Millennial Financial Behavior,"Bentley, Michael",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44351,45527,1813/47,,,Automated Mobile Systems For Personalized Health Feedback,"Mashfiqui Rabbi Shuvo, Mohammod",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44356,45532,1813/47,,,Essays In Labor And Macroeconomics,"Zhao, Nellie",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44361,45537,1813/47,,,"Micro-Fabricated Silicon Based Probes For Biomedical Applications: Reliable Neural Interface, Electro-Mechano Tissue Assay Surgical Tweezer, And Fluid Viscosity Sensing","Chen, Po-Cheng",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44366,45542,1813/47,,,A Learning Management System To Capture And Derive Student Concept Maps,"Lam, Quy-Steven",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44369,45545,1813/47,,,Dynamical Diffraction As An Angular Slit Optical Element,"Garg, Rohit",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44374,45550,1813/47,,,An Analysis Of Green Building Rating Systems In The Context Of Historic Preservation,"Gajare, Rashmi",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44379,45555,1813/47,,,"Continuous Automata, Compactness, And Young Measures","Messick, Scott",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44380,45556,1813/47,,,Methane Fluxes In Human-Dominated Ecosystems: From Pastures To Cities,"Chamberlain, Samuel",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44383,45559,1813/47,,,Smartphone Enabled Biosensor Systems For Nutrition Diagnostics And Preventive Care At The Point-Of-Need,"Lee, Seoho",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44386,45562,1813/47,,,Interaction Of Tumor-Derived Tissue Factor With Endothelial Cells In The Context Of Cancer Metastasis,"Che, Sara",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44394,45570,1813/47,,,Notch Signaling: Mechanistic And Functional Studies In Intestinal Stem Cells And Colorectal Cancer Cells,"Srinivasan, Tara",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44397,45573,1813/47,,,Understanding The Kinetics And Thermodynamics Of Self Assembly Of Faceted Polyhedral Particles Using Computer Simulations,"Thapar, Vikram",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44398,45574,1813/47,,,Carbon Sequestration In Concrete,"Cheng, Wei",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44404,45580,1813/47,,,The Anti-Corruption Campaign And Catering Industry In China,"Pan, Yuanyuan",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44405,45581,1813/47,,,Three Studies Of Network Dynamics,"Shi, Yongren",,
,,2016-05-29,http://hdl.handle.net/1813/44406,,,,,45582,1813/47,,,γ-Aminobutyric Acid (Gaba) In Fresh-Cut Fruits And Vegetables,"Zhang, Yiyi",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44408,45584,1813/47,,,Enhancing Gas Transfer At An Air-Water Interface Through Strengthened Secondary Flows Motivated By Algal Biofuel Production,"Citerone, Veronica",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44265,45441,1813/47,,,Insights Into Microbial Metal Reduction Through Implementation Of Proteomic-Based Techniques: A Focus On The Gram-Positive Bacterium Desulfotomaculum Reducens Mi-1,"Otwell, Anne",,
,,2016-02-01,http://hdl.handle.net/1813/40940,,,,,42059,1813/47,,,"Iron Status, Brain Function, And Memory Performance In Early Infancy","Nevins, Julie",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43558,44721,1813/47,,,Ecological Forecasting For Oneida Lake: Impacts Of Climate Change And Invasive Mussels On Lake Dynamics,"Hetherington, Amy",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43559,44722,1813/47,,,Ferroelectricity Coupled To Octahedral Rotations In Perovskite Oxides From First Principles,"Mulder, Andrew",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43560,44723,1813/47,,,This Music Is So Strange: Claude Vivier'S Queerness,"Gilutz, Amit",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43568,44731,1813/47,,,Untimely Interference: Anachronistic Temporalities In Nineteenth-Century British Poetry,"Guthrie, Bernadette",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43571,44734,1813/47,,,Patterns Of Misperception Of Arabic Guttural And Non-Guttural Consonants,"Sanker, Chelsea",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43579,44742,1813/47,,,Yeast Assimilable Nitrogen Requirements Of Innoculated And Spontaneous Fermentations Of Riesling (V. Vinifera L.),"Martins Tahim, Camila",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43582,44745,1813/47,,,Some Resource Allocation Problems,"Tong, Chaoxu",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43596,44759,1813/47,,,"Patterns Of Dispersal Activity Of Onion Thrips, Thrips Tabaci Lindeman, In Onion Ecosystems","Smith, Erik",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43600,44763,1813/47,,,The Impact Of Poverty On Infant Development: A Microanalytic Study Of The Mediating Role Of Parent-Child Interaction During Pretense,"Blackburn, Erika",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43601,44764,1813/47,,,Protein Kinase-Mediated Immunity In Arabidopsis And Nicotiana Benthamiana,"Brauer, Elizabeth",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43602,44765,1813/47,,,Constraining Physics Beyond The Cosmological Standard Model,"Mueller, Eva-Maria",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43603,44766,1813/47,,,"Unconquerable Monsters Of The Imperial Periphery: Early Dinosaur Fiction, 1864-1912","Yu, Eugenia",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43608,44771,1813/47,,,Mechanical Properties Of Tetra-Polyethylene And Tetra-Polyethylene Oxide Diamond Networks Via Molecular Dynamics Simulations,"Wang, Endian",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43617,44780,1813/47,,,Transferred Monolayer And Ab Stacked Bilayer (0001) Sic Epitaxial Graphene,"Alsalman, Hussain",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43620,44783,1813/47,,,Understanding People From Rgbd Data For Assistive Robots,"Koppula, Hema",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43629,44792,1813/47,,,Metabolic Modeling And Analysis Of Microbial Glycosylation Platforms,"Wayman, Joseph",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43631,44794,1813/47,,,"Development Of Low Temperature Biological Small Angle X-Ray Scattering, Cryosaxs, And Study Of Ice Formation In Aqueous Solutions","Hopkins, Jesse",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43637,44800,1813/47,,,Essays In Innovation And Technology Adoption,"Choe, Justin",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43639,44802,1813/47,,,Embedding Methods For Generative Modeling And Visual Data Analysis,"Moore, Joshua",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43641,44804,1813/47,,,Corporate Culture In Financial Markets,"Pacelli, Joseph",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43645,44808,1813/47,,,"Essays On Reporting Systems, Operational Distortion, And Belief Distortion","Bentley, Jeremiah",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43648,44811,1813/47,,,"Mitigating The Biasing Impact Of Emotions And Morality: Cognitive Training, Juror Emotionality, And Juror Decision-Making","Burd, Kayla",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43657,44820,1813/47,,,Atomistic Modeling Predictions Of Crack Tip Behavior In Silicon Carbide,"Leung, Kai Wing Kelvin",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43661,44824,1813/47,,,Development Of Multi-Scale Computational Tools For The Study Of Interfaces,"Mathew, Kiran",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43664,44827,1813/47,,,"Modeling, Analysis, And Network Identification Of Cancer Signal Transduction Networks","Rogers, Katharine",,
